User;Score;Sample;Concentration;Plate Barcode;Drop;Platetype;Robot;Image Type;Run Date;screen;Components;;
sengilberge;4;ProteinaseK_LuXo4;20;CD027795;F11-3;CrystalDirect CD-2 Mitegen;Robot 20;Vis;06/03/2020 04:40;JCSG_MD;1M succinic acid;0.1M HEPES pH7;1% w/v PEG 2K MME
sengilberge;6;ProteinaseK_LuXo4;20;CD027795;F01-3;CrystalDirect CD-2 Mitegen;Robot 20;Vis;06/03/2020 04:40;JCSG_MD;0.05M Cesium chloride;0.1M MES pH6.5;30% v/v Jeffamine M-600
sengilberge;4;ProteinaseK_LuXo4;20;CD027795;E05-3;CrystalDirect CD-2 Mitegen;Robot 20;Vis;06/03/2020 04:40;JCSG_MD;0.1M CAPS pH10.5;40% v/v MPD;
sengilberge;6;ProteinaseK_LuXo4;20;CD027795;D09-3;CrystalDirect CD-2 Mitegen;Robot 20;Vis;06/03/2020 04:40;JCSG_MD;0.17M ammonium sulfate;25.5% w/v PEG 4K;15% v/v Glycerol
sengilberge;6;ProteinaseK_LuXo4;20;CD027795;D07-3;CrystalDirect CD-2 Mitegen;Robot 20;Vis;06/03/2020 04:40;JCSG_MD;0.2M lithium sulfate;0.1M tris pH8.5;40% v/v PEG 400
sengilberge;6;ProteinaseK_LuXo4;20;CD027795;C09-3;CrystalDirect CD-2 Mitegen;Robot 20;Vis;06/03/2020 04:40;JCSG_MD;0.1M sodium/potassium phosphate pH6.2;25% v/v 1,2-propanediol;10% v/v Glycerol
sengilberge;4;ProteinaseK_LuXo4;20;CD027795;C05-3;CrystalDirect CD-2 Mitegen;Robot 20;Vis;06/03/2020 04:40;JCSG_MD;0.1M sodium HEPES pH7.5;0.8M Sodium phosphate monobasic monohydrate;0.8M potassium phosphate monobasic
sengilberge;6;ProteinaseK_LuXo4;20;CD027795;B09-3;CrystalDirect CD-2 Mitegen;Robot 20;Vis;06/03/2020 04:40;JCSG_MD;0.1M citrate pH5;20% w/v PEG 6K;
sengilberge;6;ProteinaseK_LuXo4;20;CD027795;A09-3;CrystalDirect CD-2 Mitegen;Robot 20;Vis;06/03/2020 04:40;JCSG_MD;0.2M ammonium chloride;20% w/v PEG 3350;
sengilberge;6;ProteinaseK_LuXo4;20;CD027795;A01-3;CrystalDirect CD-2 Mitegen;Robot 20;Vis;06/03/2020 04:40;JCSG_MD;0.2M lithium sulfate;0.1M sodium acetate pH4.5;50% v/v PEG 400
sengilberge;6;ProteinaseK_LuXo4;20;CD027795;G06-3;CrystalDirect CD-2 Mitegen;Robot 20;Vis;06/03/2020 04:40;JCSG_MD;0.2M sodium malonate dibasic monohydrate;20% w/v PEG 3350;
sengilberge;6;ProteinaseK_LuXo4;20;CD027795;H07-3;CrystalDirect CD-2 Mitegen;Robot 20;Vis;06/03/2020 04:40;JCSG_MD;0.2M ammonium sulfate;0.1M Bis Tris pH5.5;25% w/v PEG 3350
sengilberge;6;ProteinaseK_LuXo4;20;CD027795;G07-3;CrystalDirect CD-2 Mitegen;Robot 20;Vis;06/03/2020 04:40;JCSG_MD;0.1M succinic acid;15% w/v PEG 3350;
sengilberge;4;ProteinaseK_LuXo4;20;CD027795;G11-3;CrystalDirect CD-2 Mitegen;Robot 20;Vis;06/03/2020 04:40;JCSG_MD;0.1M Bis Tris pH5.5;2M ammonium sulfate;
sengilberge;6;ProteinaseK_LuXo4;20;CD027795;H03-3;CrystalDirect CD-2 Mitegen;Robot 20;Vis;06/03/2020 04:40;JCSG_MD;0.1M Bis Tris pH5.5;25% w/v PEG 3350;
sengilberge;6;ProteinaseK_LuXo4;20;CD027795;H08-3;CrystalDirect CD-2 Mitegen;Robot 20;Vis;06/03/2020 04:40;JCSG_MD;0.2M sodium chloride;0.1M Bis Tris pH5.5;25% w/v PEG 3350
sengilberge;6;ProteinaseK_LuXo4;20;CD027795;H09-3;CrystalDirect CD-2 Mitegen;Robot 20;Vis;06/03/2020 04:40;JCSG_MD;0.2M lithium sulfate;0.1M Bis Tris pH5.5;25% w/v PEG 3350
sengilberge;6;ProteinaseK_LuXo4;20;CD027795;H11-3;CrystalDirect CD-2 Mitegen;Robot 20;Vis;06/03/2020 04:40;JCSG_MD;0.2M magnesium chloride hexahydrate;0.1M Bis Tris pH5.5;25% w/v PEG 3350
sengilberge;4;ProteinaseK_LuXo4;20;CD028052;A04-3;CrystalDirect CD-2 Mitegen;Robot 20;Vis;09/03/2020 02:53;Classics-Suite_qiagen;5%(v/v) isopropanol;2M ammonium sulfate;
sengilberge;6;ProteinaseK_LuXo4;20;CD028052;H07-3;CrystalDirect CD-2 Mitegen;Robot 20;Vis;09/03/2020 02:53;Classics-Suite_qiagen;0,2M ammonium sulfate;30 %(w/v) PEG 4000;
